us_disease_id,us_disease_name,census_diseases,n_census_labels,n_cells,matched,opportunistic
normal_baseline,Normal / healthy baseline,normal|normal pressure hydrocephalus|dementia || Alzheimer disease || normal pressure hydrocephalus|dementia || normal pressure hydrocephalus,4,62476003,True,
cmv,Cytomegalovirus infection,cytomegalovirus infection,1,6415859,True,
alzheimer,Alzheimer disease,dementia || Alzheimer disease|dementia|Alzheimer disease|dementia || Alzheimer disease || Lewy body dementia|dementia || schizophrenia|dementia || vascular dementia || Alzheimer disease|Lewy body dementia|frontotemporal dementia|dementia || Lewy body dementia|vascular dementia|dementia || Parkinson disease|dementia || tauopathy|amyotrophic lateral sclerosis 26 with or without frontotemporal dementia|dementia || Alzheimer disease || diabetes mellitus|dementia || vascular dementia|dementia || Alzheimer disease || schizophrenia|dementia || Alzheimer disease || Parkinson disease|dementia || frontotemporal dementia|vascular dementia || diabetes mellitus|dementia || head injury|dementia || brain neoplasm|dementia || Alzheimer disease || frontotemporal dementia|dementia || vascular dementia || schizophrenia|dementia || Alzheimer disease || brain neoplasm|dementia || vascular dementia || head injury|dementia || amyotrophic lateral sclerosis|dementia || Alzheimer disease || Parkinson disease || Lewy body dementia|dementia || vascular dementia || Alzheimer disease || diabetes mellitus|dementia || schizophrenia || Parkinson disease|dementia || Alzheimer disease || schizophrenia || Lewy body dementia|dementia || vascular dementia || diabetes mellitus|dementia || vascular dementia || Alzheimer disease || Parkinson disease|dementia || Alzheimer disease || normal pressure hydrocephalus|dementia || major depressive disorder || Alzheimer disease || Lewy body dementia|dementia || vascular dementia || Alzheimer disease || schizophrenia|dementia || progressive supranuclear palsy|dementia || vascular dementia || tauopathy|dementia || post-traumatic stress disorder|dementia || diabetes mellitus || Parkinson disease|vascular dementia || diabetes mellitus || Parkinson disease|dementia || schizophrenia || head injury|vascular dementia || progressive supranuclear palsy|dementia || Alzheimer disease || amyotrophic lateral sclerosis|dementia || Parkinson disease || Lewy body dementia || head injury|dementia || normal pressure hydrocephalus|dementia || Alzheimer disease || diabetes mellitus || Parkinson disease || head injury|dementia || multiple sclerosis|dementia || Parkinson disease || progressive supranuclear palsy|vascular dementia || Lewy body dementia,49,5220168,True,
covid19,COVID-19,COVID-19|post-COVID-19 disorder|long COVID-19,3,4788116,True,
lewy_body,Lewy body dementia,dementia || Alzheimer disease|dementia|Alzheimer disease|dementia || Alzheimer disease || Lewy body dementia|Lewy body dementia|dementia || Lewy body dementia|dementia || Alzheimer disease || Parkinson disease || Lewy body dementia|dementia || Alzheimer disease || schizophrenia || Lewy body dementia|dementia || major depressive disorder || Alzheimer disease || Lewy body dementia|dementia || Parkinson disease || Lewy body dementia || head injury|vascular dementia || Lewy body dementia,11,4027204,True,
schizophrenia,Schizophrenia,dementia|dementia || schizophrenia|schizophrenia|schizophrenia || tardive dyskinesia|dementia || Alzheimer disease || schizophrenia|schizophrenia || type 1 diabetes mellitus|schizophrenia || atherosclerosis|schizophrenia || type 2 diabetes mellitus || tardive dyskinesia|dementia || vascular dementia || schizophrenia|schizophrenia || type 2 diabetes mellitus|epilepsy || schizophrenia || tardive dyskinesia|major depressive disorder || schizophrenia || atherosclerosis|dementia || schizophrenia || Parkinson disease|dementia || Alzheimer disease || schizophrenia || Lewy body dementia|dementia || vascular dementia || Alzheimer disease || schizophrenia|schizophrenia || brain neoplasm|schizophrenia || type 1 diabetes mellitus || atherosclerosis|dementia || schizophrenia || head injury|schizophrenia || type 1 diabetes mellitus || tardive dyskinesia|epilepsy || schizophrenia|diabetes mellitus || schizophrenia,21,2107428,True,
parkinson,Parkinson disease,Parkinson disease|dementia || Parkinson disease|dementia || Alzheimer disease || Parkinson disease|dementia || Alzheimer disease || Parkinson disease || Lewy body dementia|dementia || schizophrenia || Parkinson disease|dementia || vascular dementia || Alzheimer disease || Parkinson disease|dementia || diabetes mellitus || Parkinson disease|vascular dementia || diabetes mellitus || Parkinson disease|dementia || Parkinson disease || Lewy body dementia || head injury|dementia || Alzheimer disease || diabetes mellitus || Parkinson disease || head injury|dementia || Parkinson disease || progressive supranuclear palsy,11,1955857,True,
cancer_breast,Breast cancer,breast cancer|invasive ductal breast carcinoma|triple-negative breast carcinoma|estrogen-receptor positive breast cancer|luminal B breast carcinoma|invasive lobular breast carcinoma|HER2 positive breast carcinoma|luminal A breast carcinoma|invasive tubular breast carcinoma || invasive lobular breast carcinoma|breast carcinoma|metaplastic breast carcinoma,11,1634857,True,
frontotemporal,Frontotemporal dementia,dementia|frontotemporal dementia|amyotrophic lateral sclerosis 26 with or without frontotemporal dementia|dementia || frontotemporal dementia|dementia || Alzheimer disease || frontotemporal dementia,5,1627290,True,
glioblastoma,Glioblastoma,glioblastoma|blastoma,2,1421428,True,
cancer_lung,Lung cancer,lung adenocarcinoma|squamous cell lung carcinoma|non-small cell lung carcinoma|small cell lung carcinoma|lung cancer|adenocarcinoma,6,1292899,True,
heart_disease,Heart disease,dilated cardiomyopathy|atherosclerosis|myocardial infarction|arrhythmogenic right ventricular cardiomyopathy|bipolar I disorder || atherosclerosis|schizophrenia || atherosclerosis|heart failure|non-compaction cardiomyopathy|acute myocardial infarction|major depressive disorder || schizophrenia || atherosclerosis|congenital heart disease|atherosclerosis || tardive dyskinesia || schizoaffective bipolar disorder|schizophrenia || type 1 diabetes mellitus || atherosclerosis|type 1 diabetes mellitus || atherosclerosis|cardiomyopathy|type 2 diabetes mellitus || atherosclerosis|hypertrophic cardiomyopathy,17,1292338,True,
cancer_blood,Hematologic cancer,"B-cell non-Hodgkin lymphoma|B-cell acute lymphoblastic leukemia|follicular lymphoma|diffuse large B-cell lymphoma|acute myeloid leukemia|lymphoma|primary cutaneous diffuse large B-cell lymphoma, Leg type|acute promyelocytic leukemia",8,1001906,True,
cancer_ovary,Ovarian cancer,malignant ovarian serous tumor|ovarian cancer,2,984988,True,
lupus,Systemic lupus erythematosus,systemic lupus erythematosus,1,777258,True,
ild,Interstitial lung disease,interstitial lung disease|pulmonary fibrosis,2,585733,True,
