disease_a,disease_b,category_a,category_b,cosine,cross_category
multiple_sclerosis,rheumatoid_arthritis,neurological,inflammatory,0.9945501942756052,True
hypertension,sickle_cell,cardiovascular,unspecified,0.9924683985361112,True
hiv,hypertension,infectious,cardiovascular,0.9913340145673525,True
hypertension,influenza,cardiovascular,infectious,0.9912537647933712,True
ards,creutzfeldt_jakob,pulmonary,neurological,0.9909760235840019,True
migraine,rheumatoid_arthritis,neurological,inflammatory,0.9906794833952624,True
anxiety,rheumatoid_arthritis,neurological,inflammatory,0.9906794833952624,True
adhd,rheumatoid_arthritis,neurological,inflammatory,0.9906794833952624,True
rheumatoid_arthritis,stroke,inflammatory,neurological,0.9906794833952624,True
ptsd,rheumatoid_arthritis,neurological,inflammatory,0.9906794833952624,True
huntington,rheumatoid_arthritis,neurological,inflammatory,0.9906794833952624,True
bipolar,rheumatoid_arthritis,neurological,inflammatory,0.990089355218653,True
bipolar,hypertension,neurological,cardiovascular,0.9898601453584952,True
anxiety,hypertension,neurological,cardiovascular,0.9896633493439844,True
hypertension,ptsd,cardiovascular,neurological,0.9896633493439844,True
huntington,hypertension,neurological,cardiovascular,0.9896633493439844,True
hypertension,migraine,cardiovascular,neurological,0.9896633493439844,True
adhd,hypertension,neurological,cardiovascular,0.9896633493439844,True
hypertension,stroke,cardiovascular,neurological,0.9896633493439844,True
hypertension,multiple_sclerosis,cardiovascular,neurological,0.989561663956505,True
hypertension,rheumatoid_arthritis,cardiovascular,inflammatory,0.9895407003313829,True
ards,covid19,pulmonary,infectious,0.9892585859879027,True
als,hypertension,neurological,cardiovascular,0.9889208621978105,True
als,rheumatoid_arthritis,neurological,inflammatory,0.988636731901647,True
hypertension,ild,cardiovascular,pulmonary,0.9885608165129952,True
