disease_id,category,voc_id,log2_fold_change
acute_kidney_injury,metabolic,2_butanone,2.288014019730333
acute_kidney_injury,metabolic,2_pentanone,0.38992027188848766
acute_kidney_injury,metabolic,3_methylbutanal,0.001118975079048052
acute_kidney_injury,metabolic,acetaldehyde,-0.006691548310912755
acute_kidney_injury,metabolic,acetone,2.021799096957517
acute_kidney_injury,metabolic,acetonitrile,-0.16347466462865382
acute_kidney_injury,metabolic,allyl_methyl_sulfide,-0.16727054877775338
acute_kidney_injury,metabolic,ammonia,1.7074514974952415
acute_kidney_injury,metabolic,benzaldehyde,-0.002631790146969322
acute_kidney_injury,metabolic,benzene,0.04635951844379424
acute_kidney_injury,metabolic,butane,-0.006319782477856551
acute_kidney_injury,metabolic,carbon_disulfide,0.008778448649478632
acute_kidney_injury,metabolic,crotonaldehyde,-0.0057078880739668
acute_kidney_injury,metabolic,cyclohexane,0.0016591979978921513
acute_kidney_injury,metabolic,decanal,-0.01009023449187237
acute_kidney_injury,metabolic,dimethyl_amine,-0.006691548310912594
acute_kidney_injury,metabolic,dimethyl_disulfide,3.981280461735194e-05
acute_kidney_injury,metabolic,dms,0.0034380226791812804
acute_kidney_injury,metabolic,dmts,0.00741550681117983
acute_kidney_injury,metabolic,dodecane,-0.004889891733551362
acute_kidney_injury,metabolic,ethane,0.007327714385037994
acute_kidney_injury,metabolic,ethanol,0.0005867416556261358
acute_kidney_injury,metabolic,ethyl_acetate,0.010401986559901604
acute_kidney_injury,metabolic,ethylbenzene,-0.059579200407379365
acute_kidney_injury,metabolic,formaldehyde,-0.009955933154756604
acute_kidney_injury,metabolic,furan,-0.002004207632979448
acute_kidney_injury,metabolic,heptanal,0.02197976137967472
acute_kidney_injury,metabolic,hexanal,0.03349762106117132
acute_kidney_injury,metabolic,hexane,-0.003106569332710392
acute_kidney_injury,metabolic,hydrogen_sulfide,-0.001068127549935545
acute_kidney_injury,metabolic,indole,0.0034380226791812804
acute_kidney_injury,metabolic,isoprene,-0.01994162275322662
acute_kidney_injury,metabolic,isopropanol,0.5603491994046432
acute_kidney_injury,metabolic,limonene,-0.0011881223472207279
acute_kidney_injury,metabolic,methanol,-0.009955933154756604
acute_kidney_injury,metabolic,methyl_acetate,-0.16584720578802575
acute_kidney_injury,metabolic,methyl_mercaptan,-0.001068127549935545
