cohort,voc_id,mean_intensity,source,label_origin
asthma,2_pentanone,44004.058655893816,scientific_data_23522490,measured_cohort
asthma,acetaldehyde,7959.50060754717,scientific_data_23522490,measured_cohort
asthma,benzaldehyde,110463.99832025156,scientific_data_23522490,measured_cohort
asthma,benzene,117174.20796205188,scientific_data_23522490,measured_cohort
asthma,butane,9580.074773584904,scientific_data_23522490,measured_cohort
asthma,decanal,18203.102518867927,scientific_data_23522490,measured_cohort
asthma,dodecane,313949.656990566,scientific_data_23522490,measured_cohort
asthma,ethanol,87629.45985141509,scientific_data_23522490,measured_cohort
asthma,ethyl_acetate,11356.647356603771,scientific_data_23522490,measured_cohort
asthma,ethylbenzene,106498.48784528302,scientific_data_23522490,measured_cohort
asthma,furan,1485960.0188679246,scientific_data_23522490,measured_cohort
asthma,hexane,14168.60154716981,scientific_data_23522490,measured_cohort
asthma,isopropanol,863753.6217674529,scientific_data_23522490,measured_cohort
asthma,octane,18156.017311320757,scientific_data_23522490,measured_cohort
asthma,phenol,74058.16206301887,scientific_data_23522490,measured_cohort
asthma,propanol,66046.46641509434,scientific_data_23522490,measured_cohort
asthma,undecane,201425.20551509436,scientific_data_23522490,measured_cohort
copd,2_pentanone,9663.197787878787,scientific_data_23522490,measured_cohort
copd,acetaldehyde,7459.607639393939,scientific_data_23522490,measured_cohort
copd,benzaldehyde,88395.98965656565,scientific_data_23522490,measured_cohort
copd,benzene,171896.57481868684,scientific_data_23522490,measured_cohort
copd,butane,13976.50926969697,scientific_data_23522490,measured_cohort
copd,decanal,14598.576848484849,scientific_data_23522490,measured_cohort
copd,dodecane,275997.7484848485,scientific_data_23522490,measured_cohort
copd,ethanol,70623.5672551515,scientific_data_23522490,measured_cohort
copd,ethyl_acetate,6963.039124242424,scientific_data_23522490,measured_cohort
copd,ethylbenzene,40302.74795609091,scientific_data_23522490,measured_cohort
copd,furan,35775.66515151515,scientific_data_23522490,measured_cohort
copd,hexane,19716.95778787879,scientific_data_23522490,measured_cohort
copd,isopropanol,940233.210771212,scientific_data_23522490,measured_cohort
copd,octane,8414.794196969697,scientific_data_23522490,measured_cohort
copd,phenol,101008.9790771212,scientific_data_23522490,measured_cohort
copd,propanol,43357.32121212121,scientific_data_23522490,measured_cohort
copd,undecane,207832.04363636364,scientific_data_23522490,measured_cohort
copd,xylene,90825.2766060606,scientific_data_23522490,measured_cohort
bronchiectasis,acetaldehyde,8716.198674285715,scientific_data_23522490,measured_cohort
bronchiectasis,acetonitrile,94654.49094285716,scientific_data_23522490,measured_cohort
bronchiectasis,benzaldehyde,73717.91132380953,scientific_data_23522490,measured_cohort
bronchiectasis,benzene,119280.1761510204,scientific_data_23522490,measured_cohort
bronchiectasis,butane,13288.51880952381,scientific_data_23522490,measured_cohort
bronchiectasis,decanal,18814.337614285712,scientific_data_23522490,measured_cohort
bronchiectasis,dodecane,538026.8274285714,scientific_data_23522490,measured_cohort
bronchiectasis,ethanol,74422.24644,scientific_data_23522490,measured_cohort
bronchiectasis,ethyl_acetate,7925.465155714286,scientific_data_23522490,measured_cohort
bronchiectasis,ethylbenzene,41960.21919428571,scientific_data_23522490,measured_cohort
bronchiectasis,furan,21351.75664190476,scientific_data_23522490,measured_cohort
bronchiectasis,hexane,18945.42657142857,scientific_data_23522490,measured_cohort
bronchiectasis,isopropanol,1295312.704262857,scientific_data_23522490,measured_cohort
bronchiectasis,octane,8280.856457142858,scientific_data_23522490,measured_cohort
bronchiectasis,phenol,115870.52875485714,scientific_data_23522490,measured_cohort
bronchiectasis,propanol,39359.86857142857,scientific_data_23522490,measured_cohort
bronchiectasis,undecane,194527.6126571429,scientific_data_23522490,measured_cohort
bronchiectasis,xylene,76136.91825514311,scientific_data_23522490,measured_cohort
