disease,assay,n_cells
Alzheimer disease,10x 3' v2,234101
Alzheimer disease,10x 3' v3,246362
Alzheimer disease,10x multiome,15852
Alzheimer disease,Drop-seq,111920
B-cell acute lymphoblastic leukemia,10x 3' v3,128588
B-cell acute lymphoblastic leukemia,10x 5' v1,18122
B-cell non-Hodgkin lymphoma,10x 5' v1,59746
B-cell non-Hodgkin lymphoma,10x multiome,583105
Barrett esophagus,10x 3' v2,8391
Barrett esophagus,10x 3' v3,2561
COVID-19,10x 3' transcription profiling,527286
COVID-19,10x 3' v2,56893
COVID-19,10x 3' v3,985422
COVID-19,10x 5' transcription profiling,468730
COVID-19,10x 5' v1,1480451
COVID-19,10x 5' v2,1123637
COVID-19,Seq-Well,28094
COVID-19,Seq-Well S3,18073
Crohn disease,10x 3' v1,2130
Crohn disease,10x 3' v2,132692
Crohn disease,10x 3' v3,44571
Down syndrome,10x 5' v1,16743
HER2 positive breast carcinoma,10x 5' transcription profiling,16017
HIV infectious disease,10x 5' v1,1751
HIV infectious disease || leishmaniasis,10x 5' v1,2354
HIV infectious disease || visceral leishmaniasis,10x 5' v1,12822
Lewy body dementia,10x 3' v3,120232
Parkinson disease,10x 3' v3,1810127
Pick disease,10x 3' v2,48086
Pick disease,10x 3' v3,49957
Plasmodium malariae malaria,10x 3' v3,27958
Sjogren syndrome,10x 3' v2,8306
Sjogren syndrome,10x 3' v3,36925
Wilms tumor,10x 3' v3,4636
acute kidney failure,10x 3' v3,125291
acute myeloid leukemia,BD Rhapsody Targeted mRNA,27852
acute myocardial infarction,10x 3' v3,8033
acute promyelocytic leukemia,BD Rhapsody Targeted mRNA,3734
adenocarcinoma,10x 3' v2,11483
age related macular degeneration 7,10x 3' v3,1701
amyotrophic lateral sclerosis,10x 3' v3,171539
amyotrophic lateral sclerosis 26 with or without frontotemporal dementia,10x 3' v3,73797
anencephaly,10x 3' v2,5499
anthracosis,10x 5' v2,21203
arrhythmogenic right ventricular cardiomyopathy,10x 3' v3,104496
aspiration pneumonia,10x 3' v3,10204
atherosclerosis,10x 3' v2,64303
atherosclerosis,10x 3' v3,336328
atherosclerosis || tardive dyskinesia || schizoaffective bipolar disorder,10x 3' v3,4403
atrial fibrillation || mitral valve insufficiency,10x 3' v3,25034
basal cell carcinoma,10x 3' v3,55897
basal cell carcinoma,10x 5' transcription profiling,61201
benign prostatic hyperplasia,10x 3' v2,27847
benign prostatic hyperplasia,10x 3' v3,32006
bipolar I disorder,10x 3' v3,152195
bipolar I disorder || anorexia nervosa,10x 3' v3,7612
bipolar I disorder || anorexia nervosa || obsessive-compulsive disorder,10x 3' v3,4102
bipolar I disorder || atherosclerosis,10x 3' v3,36132
bipolar I disorder || attention deficit-hyperactivity disorder,10x 3' v3,7023
bipolar I disorder || brain neoplasm,10x 3' v3,3279
bipolar I disorder || bulimia nervosa,10x 3' v3,19156
bipolar I disorder || bulimia nervosa || obsessive-compulsive disorder,10x 3' v3,5006
bipolar I disorder || obsessive-compulsive disorder,10x 3' v3,18786
bipolar I disorder || post-traumatic stress disorder,10x 3' v3,689
bipolar I disorder || type 1 diabetes mellitus,10x 3' v3,13470
