us_disease_id,us_disease_name,exhalepath_state,n_cells,fraction,n_cells_disease_total
normal_baseline,Normal / healthy baseline,adipocyte_lipolytic,162648,0.003792577481340359,62476003
normal_baseline,Normal / healthy baseline,gut_fermentative_microbe,24859,0.0005796547366622399,62476003
normal_baseline,Normal / healthy baseline,hepatocyte_ketogenic,151682,0.0035368755688644704,62476003
normal_baseline,Normal / healthy baseline,hepatocyte_sulfur,16212,0.0003780265735052992,62476003
normal_baseline,Normal / healthy baseline,microglia_activated,4873846,0.11364688521912833,62476003
normal_baseline,Normal / healthy baseline,neuron_stressed,11418845,0.266261216921917,62476003
normal_baseline,Normal / healthy baseline,oxidative_stress_cell,26236475,0.6117742872629808,62476003
normal_baseline,Normal / healthy baseline,tumor_epithelial_warburg,1307,3.047623560149433e-05,62476003
cmv,Cytomegalovirus infection,oxidative_stress_cell,5866750,1.0,6415859
alzheimer,Alzheimer disease,microglia_activated,819922,0.3434362050542702,5220168
alzheimer,Alzheimer disease,neuron_stressed,1541232,0.6455673456599565,5220168
alzheimer,Alzheimer disease,oxidative_stress_cell,26253,0.010996449285773226,5220168
covid19,COVID-19,microglia_activated,11733,0.0030467015489282143,4788116
covid19,COVID-19,neuron_stressed,11988,0.0031129172563326883,4788116
covid19,COVID-19,oxidative_stress_cell,3825038,0.9932454785058621,4788116
covid19,COVID-19,tumor_epithelial_warburg,2291,0.0005949026888770595,4788116
lewy_body,Lewy body dementia,microglia_activated,681599,0.3226079597572485,4027204
lewy_body,Lewy body dementia,neuron_stressed,1409982,0.6673592776903206,4027204
lewy_body,Lewy body dementia,oxidative_stress_cell,21197,0.01003276255243097,4027204
schizophrenia,Schizophrenia,microglia_activated,549091,0.337697664921672,2107428
schizophrenia,Schizophrenia,neuron_stressed,1065728,0.6554357238447611,2107428
schizophrenia,Schizophrenia,oxidative_stress_cell,11165,0.006866611233566874,2107428
parkinson,Parkinson disease,microglia_activated,1247800,0.6994551447341869,1955857
parkinson,Parkinson disease,neuron_stressed,425149,0.2383175631740622,1955857
parkinson,Parkinson disease,oxidative_stress_cell,111011,0.06222729209175094,1955857
cancer_breast,Breast cancer,adipocyte_lipolytic,595,0.00039114166033389695,1634857
cancer_breast,Breast cancer,hepatocyte_ketogenic,67435,0.04433048380607788,1634857
cancer_breast,Breast cancer,microglia_activated,1108,0.0007283780834453072,1634857
cancer_breast,Breast cancer,neuron_stressed,1148,0.0007546733211148129,1634857
cancer_breast,Breast cancer,oxidative_stress_cell,755166,0.4964317362482481,1634857
cancer_breast,Breast cancer,tumor_epithelial_warburg,695736,0.45736358688078005,1634857
frontotemporal,Frontotemporal dementia,microglia_activated,497561,0.3149469086765939,1627290
frontotemporal,Frontotemporal dementia,neuron_stressed,1072470,0.6788536705014796,1627290
frontotemporal,Frontotemporal dementia,oxidative_stress_cell,9794,0.006199420821926479,1627290
glioblastoma,Glioblastoma,hepatocyte_sulfur,2107,0.0015055592077057192,1421428
glioblastoma,Glioblastoma,microglia_activated,352180,0.2516506130848601,1421428
glioblastoma,Glioblastoma,neuron_stressed,3632,0.002595249664160974,1421428
glioblastoma,Glioblastoma,oxidative_stress_cell,538951,0.38510804012919087,1421428
glioblastoma,Glioblastoma,tumor_epithelial_warburg,502610,0.35914053791408235,1421428
cancer_lung,Lung cancer,gut_fermentative_microbe,715,0.0006191773514450647,1292899
cancer_lung,Lung cancer,microglia_activated,1570,0.0013595922262500022,1292899
cancer_lung,Lung cancer,neuron_stressed,320,0.0002771143391082807,1292899
cancer_lung,Lung cancer,oxidative_stress_cell,1060909,0.9187284262157093,1292899
cancer_lung,Lung cancer,tumor_epithelial_warburg,91244,0.07901568986748739,1292899
heart_disease,Heart disease,adipocyte_lipolytic,2423,0.003571797101876557,1292338
heart_disease,Heart disease,microglia_activated,79593,0.11732977578607545,1292338
heart_disease,Heart disease,neuron_stressed,75094,0.11069770184412636,1292338
heart_disease,Heart disease,oxidative_stress_cell,521260,0.7684007252679216,1292338
cancer_blood,Hematologic cancer,adipocyte_lipolytic,3294,0.00365454660434485,1001906
cancer_blood,Hematologic cancer,oxidative_stress_cell,784086,0.8699085697675579,1001906
cancer_blood,Hematologic cancer,tumor_epithelial_warburg,113963,0.12643688362809719,1001906
cancer_ovary,Ovarian cancer,oxidative_stress_cell,964058,0.987425422626455,984988
cancer_ovary,Ovarian cancer,tumor_epithelial_warburg,12277,0.012574577373544941,984988
lupus,Systemic lupus erythematosus,oxidative_stress_cell,715212,1.0,777258
ild,Interstitial lung disease,oxidative_stress_cell,286381,1.0,585733
type2_diabetes,Type 2 diabetes,microglia_activated,58130,0.4690853924242669,443012
type2_diabetes,Type 2 diabetes,neuron_stressed,48655,0.3926260066816223,443012
type2_diabetes,Type 2 diabetes,oxidative_stress_cell,17137,0.13828860089411082,443012
neuroblastoma,Neuroblastoma,hepatocyte_ketogenic,8984,0.022835240082658283,430064
neuroblastoma,Neuroblastoma,hepatocyte_sulfur,2107,0.005355504324817565,430064
neuroblastoma,Neuroblastoma,neuron_stressed,231909,0.5894587814257791,430064
neuroblastoma,Neuroblastoma,oxidative_stress_cell,97996,0.2490830573397352,430064
neuroblastoma,Neuroblastoma,tumor_epithelial_warburg,52431,0.13326741682700985,430064
cancer_kidney,Kidney cancer,oxidative_stress_cell,289259,0.9794930836564346,397864
cancer_kidney,Kidney cancer,tumor_epithelial_warburg,6056,0.020506916343565346,397864
ckd,Chronic kidney disease,oxidative_stress_cell,313846,1.0,391833
als,ALS,microglia_activated,168571,0.45220575414123804,391716
als,ALS,neuron_stressed,199282,0.534590570719603,391716
als,ALS,oxidative_stress_cell,4922,0.01320367513915901,391716
cancer_colorectal,Colorectal cancer,gut_fermentative_microbe,1427,0.006776328910753801,345421
cancer_colorectal,Colorectal cancer,neuron_stressed,3,1.424596126997996e-05,345421
cancer_colorectal,Colorectal cancer,oxidative_stress_cell,181605,0.862379265478237,345421
cancer_colorectal,Colorectal cancer,tumor_epithelial_warburg,27551,0.1308301596497393,345421
bipolar,Bipolar disorder,microglia_activated,92319,0.4997293464257489,332284
bipolar,Bipolar disorder,neuron_stressed,85471,0.46266063289631804,332284
bipolar,Bipolar disorder,oxidative_stress_cell,6948,0.03761002067793307,332284
