tissue_general,cell_type,n_cells,fraction_in_tissue,exhalepath_state
brain,neuron,3490689,0.18828051884615346,neuron_stressed
blood,"naive thymus-derived CD4-positive, alpha-beta T cell",2228975,0.16125511858714334,oxidative_stress_cell
brain,oligodendrocyte,2211932,0.11930702065191424,microglia_activated
brain,glutamatergic neuron,1904286,0.10271323400952252,neuron_stressed
brain,L2/3-6 intratelencephalic projecting glutamatergic neuron,1496676,0.08072759670786643,neuron_stressed
blood,"central memory CD4-positive, alpha-beta T cell",1431041,0.10352861120383323,oxidative_stress_cell
eye,retinal rod cell,1303310,0.16695061589227522,
blood,"CD14-positive, CD16-negative classical monocyte",1210529,0.08757567825936856,oxidative_stress_cell
brain,astrocyte,1082131,0.05836789990156868,microglia_activated
brain,radial glial cell,839385,0.0452746845427016,
blood,"CD16-positive, CD56-dim natural killer cell, human",810899,0.05866445985585121,
eye,fibroblast,732342,0.09381110245742043,oxidative_stress_cell
blood,"naive thymus-derived CD8-positive, alpha-beta T cell",715606,0.0517704910964328,oxidative_stress_cell
lung,unknown,702439,0.2230795076771421,
blood,"effector memory CD4-positive, alpha-beta T cell",681277,0.049286960789462986,oxidative_stress_cell
blood,naive B cell,654810,0.04737220659812126,oxidative_stress_cell
blood,"effector memory CD8-positive, alpha-beta T cell",641394,0.04640162654631937,oxidative_stress_cell
brain,unknown,546147,0.0294580355128372,
brain,neural cell,531051,0.028643788608429064,
brain,GABAergic neuron,505345,0.02725726032777753,neuron_stressed
blood,CD14-positive monocyte,499467,0.036133922684357035,oxidative_stress_cell
brain,oligodendrocyte precursor cell,463461,0.024998124308684366,microglia_activated
blood,natural killer cell,445457,0.032226571119224355,
brain,neuroblast (sensu Vertebrata),420470,0.022679279007451578,neuron_stressed
brain,Purkinje cell,381978,0.020603100427398716,
blood,"CD4-positive, alpha-beta T cell",358673,0.025948185667854715,oxidative_stress_cell
eye,GABAergic amacrine cell,351411,0.04501483367834232,neuron_stressed
heart,fibroblast,351055,0.17883259459704529,oxidative_stress_cell
adrenal gland,cortical cell of adrenal gland,328920,0.7511492638545385,
breast,luminal adaptive secretory precursor cell of mammary gland,321201,0.13642537741971655,
blood,mucosal invariant T cell,321036,0.0232253382163291,oxidative_stress_cell
eye,Mueller cell,306168,0.03921932323584268,
eye,epithelial cell,306152,0.03921727367752249,oxidative_stress_cell
brain,VIP GABAergic cortical interneuron,299239,0.016140330513260883,neuron_stressed
blood,memory B cell,295298,0.021363323504546373,oxidative_stress_cell
blood,"CD14-low, CD16-positive monocyte",289844,0.020968754064882727,oxidative_stress_cell
lung,pulmonary alveolar type 2 cell,289832,0.09204440509294251,
blood,B cell,288159,0.02084685279868668,oxidative_stress_cell
brain,pvalb GABAergic cortical interneuron,287868,0.015527002376666757,neuron_stressed
blood,"CD8-positive, alpha-beta T cell",287438,0.020794692078848487,oxidative_stress_cell
brain,sst GABAergic cortical interneuron,286947,0.015477325548436768,neuron_stressed
breast,fibroblast of mammary gland,270739,0.11499238874485646,oxidative_stress_cell
eye,pigmented ciliary epithelial cell,270381,0.034635101760570594,oxidative_stress_cell
brain,L2/3 intratelencephalic projecting glutamatergic neuron,268706,0.014493443872276936,neuron_stressed
lung,alveolar macrophage,267079,0.08481854200991606,oxidative_stress_cell
heart,regular ventricular cardiac myocyte,265132,0.13506215114641243,
blood,classical monocyte,265034,0.019173875480714208,oxidative_stress_cell
eye,melanocyte,259528,0.03324486073251214,
brain,microglial cell,259526,0.013998293727704421,microglia_activated
heart,cardiac muscle cell,252428,0.1285905461792111,
blood,hematopoietic precursor cell,246892,0.01786139312384257,
breast,fibroblast,240865,0.10230384878067013,oxidative_stress_cell
eye,ciliary muscle cell,239140,0.03063321104302023,
eye,retinal pigment epithelial cell,235610,0.030181027238630077,oxidative_stress_cell
central nervous system,oligodendrocyte,229891,0.3094620480216672,microglia_activated
eye,keratocyte,223734,0.028659742575474986,
blood,hematopoietic multipotent progenitor cell,211563,0.015305517851771243,
endocrine gland,"double-positive, alpha-beta thymocyte",208551,0.2973972340977734,
breast,luminal hormone-sensing cell of mammary gland,207411,0.08809475672865535,
eye,OFF midget ganglion cell,195409,0.025031383861777785,
eye,Schwann cell,181525,0.023252879629439855,
brain,glioblast,180786,0.009751221572623828,
central nervous system,astrocyte,180013,0.24232001970727163,microglia_activated
blood,mature gamma-delta T cell,171397,0.012399709983503902,oxidative_stress_cell
blood,"central memory CD8-positive, alpha-beta T cell",169414,0.012256249917707603,oxidative_stress_cell
lung,macrophage,169230,0.05374380563180968,oxidative_stress_cell
brain,neural progenitor cell,167764,0.009048841923100593,
eye,non-pigmented ciliary epithelial cell,166913,0.021381120493533644,oxidative_stress_cell
brain,cerebral cortex pyramidal neuron,165500,0.008926726462609072,neuron_stressed
brain,lamp5 GABAergic cortical interneuron,163218,0.008803640119481133,neuron_stressed
breast,basal-myoepithelial cell of mammary gland,162976,0.06922164722511986,oxidative_stress_cell
brain,inhibitory interneuron,162008,0.008738375231144232,neuron_stressed
