tissue_general,n_cells
brain,18539831
blood,13822662
eye,7806560
lung,3148828
breast,2354408
heart,1963037
small intestine,1187391
liver,956026
lymph node,919426
bone marrow,759562
central nervous system,742873
endocrine gland,701254
skin of body,674205
colon,670843
kidney,658049
musculature,582873
spleen,577677
placenta,520897
respiratory system,517196
adipose tissue,458002
adrenal gland,437889
pancreas,425161
embryo,400545
reproductive system,364425
uterus,307790
stomach,284282
intestine,282380
nose,237397
fallopian tube,213765
exocrine gland,193004
large intestine,185584
ovary,175002
esophagus,167458
cortex,149766
vasculature,139080
mucosa,91458
prostate gland,87105
hindlimb,86972
bladder organ,75433
digestive system,72192
yolk sac,56706
immune system,49874
spinal cord,49756
milk,48478
ureter,43728
forelimb,38983
tongue,38754
skeletal system,34541
urinary bladder,29834
lamina propria,23687
testis,20724
gallbladder,19800
pleura,19695
omentum,13409
esophagogastric junction,12771
tendon of semitendinosus,10533
head,6801
scalp,3029
sensory system,2397
nervous system,1837
peripheral nervous system,658
