disease_a,disease_b,category_a,category_b,cosine,cross_category
multiple_sclerosis,rheumatoid_arthritis,neurological,inflammatory,0.9945416954355305,True
hypertension,parkinson_disease,cardiovascular,neurological,0.9922391393486003,True
hypertension,sickle_cell,cardiovascular,unspecified,0.9921643161237647,True
hiv,hypertension,infectious,cardiovascular,0.9913355944949137,True
hypertension,influenza,cardiovascular,infectious,0.9912537528746556,True
ards,creutzfeldt_jakob,pulmonary,neurological,0.9909764538863304,True
alzheimer_disease,hypertension,neurological,cardiovascular,0.9908281789948885,True
migraine,rheumatoid_arthritis,neurological,inflammatory,0.9906843235344414,True
ptsd,rheumatoid_arthritis,neurological,inflammatory,0.9906843235344414,True
anxiety,rheumatoid_arthritis,neurological,inflammatory,0.9906843235344414,True
huntington,rheumatoid_arthritis,neurological,inflammatory,0.9906843235344414,True
adhd,rheumatoid_arthritis,neurological,inflammatory,0.9906843235344414,True
rheumatoid_arthritis,stroke,inflammatory,neurological,0.9906843235344414,True
parkinson_disease,rheumatoid_arthritis,neurological,inflammatory,0.9904847125995234,True
bipolar,rheumatoid_arthritis,neurological,inflammatory,0.9900948030660497,True
alzheimer_disease,rheumatoid_arthritis,neurological,inflammatory,0.9899447549399403,True
bipolar,hypertension,neurological,cardiovascular,0.9898638321781262,True
hypertension,migraine,cardiovascular,neurological,0.9896636476898936,True
huntington,hypertension,neurological,cardiovascular,0.9896636476898936,True
hypertension,ptsd,cardiovascular,neurological,0.9896636476898936,True
anxiety,hypertension,neurological,cardiovascular,0.9896636476898936,True
hypertension,stroke,cardiovascular,neurological,0.9896636476898936,True
adhd,hypertension,neurological,cardiovascular,0.9896636476898936,True
hypertension,multiple_sclerosis,cardiovascular,neurological,0.9895697075926677,True
hypertension,rheumatoid_arthritis,cardiovascular,inflammatory,0.9895681851896256,True
