disease_a,disease_b,category_a,category_b,cosine,cross_category
atopic_dermatitis,celiac,inflammatory,inflammatory,1.0000000000000002,False
alcohol_use,breast_benign,unspecified,unspecified,0.9999999999999998,False
alcohol_use,anemia,unspecified,unspecified,0.9999999999999998,False
anemia,breast_benign,unspecified,unspecified,0.9999999999999998,False
alcohol_use,chronic_pain,unspecified,unspecified,0.9999999999999998,False
chronic_pain,diabetic_retinopathy,unspecified,unspecified,0.9999999999999998,False
breast_benign,diabetic_retinopathy,unspecified,unspecified,0.9999999999999998,False
anemia,diabetic_retinopathy,unspecified,unspecified,0.9999999999999998,False
breast_benign,chronic_pain,unspecified,unspecified,0.9999999999999998,False
alcohol_use,diabetic_retinopathy,unspecified,unspecified,0.9999999999999998,False
anemia,chronic_pain,unspecified,unspecified,0.9999999999999998,False
cancer_bladder,endometrial_cancer,cancer,cancer,0.9998984432498965,False
cancer_bladder,cervical_cancer,cancer,cancer,0.9990304743661177,False
cervical_cancer,endometrial_cancer,cancer,cancer,0.998500343248636,False
als,alzheimer_disease,neurological,neurological,0.9974597443626201,False
diabetic_retinopathy,down_syndrome,unspecified,unspecified,0.9964683317768873,False
chronic_pain,down_syndrome,unspecified,unspecified,0.9964683317768873,False
breast_benign,down_syndrome,unspecified,unspecified,0.9964683317768873,False
anemia,down_syndrome,unspecified,unspecified,0.9964683317768873,False
alcohol_use,down_syndrome,unspecified,unspecified,0.9964683317768873,False
cancer_bladder,cancer_kidney,cancer,cancer,0.9920869035863417,False
cancer_blood,esophageal_cancer,cancer,cancer,0.9913614681612175,False
als,anxiety,neurological,neurological,0.9909092254361583,False
cancer_kidney,endometrial_cancer,cancer,cancer,0.9908926148396804,False
cancer_kidney,cervical_cancer,cancer,cancer,0.9903873107897602,False
ards,creutzfeldt_jakob,pulmonary,neurological,0.9902748581838201,True
alzheimer_disease,arrhythmia,neurological,cardiovascular,0.9891759853217778,True
alzheimer_disease,anxiety,neurological,neurological,0.9883215054515736,False
anxiety,arrhythmia,neurological,cardiovascular,0.9882017760238667,True
als,arrhythmia,neurological,cardiovascular,0.9876406690822166,True
ards,covid19,pulmonary,infectious,0.9866037549367999,True
adhd,anxiety,neurological,neurological,0.9852337707026959,False
alzheimer_disease,creutzfeldt_jakob,neurological,neurological,0.9848915968684224,False
down_syndrome,endometriosis,unspecified,unspecified,0.9843400751169783,False
covid19,creutzfeldt_jakob,infectious,neurological,0.9843140288145912,True
cancer_skin_melanoma,esophageal_cancer,cancer,cancer,0.982693594839012,False
cancer_blood,cervical_cancer,cancer,cancer,0.982527856613486,False
arrhythmia,endometriosis,cardiovascular,unspecified,0.9821053224035786,True
cancer_blood,endometrial_cancer,cancer,cancer,0.980526086672339,False
als,atopic_dermatitis,neurological,inflammatory,0.9799169538306474,True
als,celiac,neurological,inflammatory,0.9799169538306474,True
cancer_bladder,cancer_blood,cancer,cancer,0.9797051631155379,False
arrhythmia,atopic_dermatitis,cardiovascular,inflammatory,0.9795404497646795,True
arrhythmia,celiac,cardiovascular,inflammatory,0.9795404497646795,True
als,epilepsy,neurological,neurological,0.9791246906602623,False
adhd,arrhythmia,neurological,cardiovascular,0.9784218935159431,True
als,creutzfeldt_jakob,neurological,neurological,0.9777160715258683,False
atopic_dermatitis,endometriosis,inflammatory,unspecified,0.977682647601678,True
celiac,endometriosis,inflammatory,unspecified,0.977682647601678,True
alzheimer_disease,atopic_dermatitis,neurological,inflammatory,0.9772327008348156,True
alzheimer_disease,celiac,neurological,inflammatory,0.9772327008348156,True
adhd,als,neurological,neurological,0.9767819244755269,False
chronic_bronchitis,creutzfeldt_jakob,pulmonary,neurological,0.9762069378783662,True
adhd,alzheimer_disease,neurological,neurological,0.9756462726955474,False
alzheimer_disease,covid19,neurological,infectious,0.9753665858714378,True
als,endometriosis,neurological,unspecified,0.9753410143662495,True
alzheimer_disease,ards,neurological,pulmonary,0.9732161049552083,True
alzheimer_disease,endometriosis,neurological,unspecified,0.9728305074175779,True
anxiety,endometriosis,neurological,unspecified,0.9724798917136219,True
anxiety,atopic_dermatitis,neurological,inflammatory,0.9721335904360617,True
anxiety,celiac,neurological,inflammatory,0.9721335904360617,True
alzheimer_disease,epilepsy,neurological,neurological,0.9718297036908151,False
anxiety,epilepsy,neurological,neurological,0.9708548233573974,False
als,covid19,neurological,infectious,0.9698830796363089,True
adhd,ards,neurological,pulmonary,0.9688167305543266,True
anxiety,creutzfeldt_jakob,neurological,neurological,0.9681410001638662,False
breast_benign,endometriosis,unspecified,unspecified,0.9664666420456298,False
alcohol_use,endometriosis,unspecified,unspecified,0.9664666420456298,False
chronic_pain,endometriosis,unspecified,unspecified,0.9664666420456298,False
anemia,endometriosis,unspecified,unspecified,0.9664666420456298,False
diabetic_retinopathy,endometriosis,unspecified,unspecified,0.9664666420456298,False
arrhythmia,creutzfeldt_jakob,cardiovascular,neurological,0.966054481364004,True
als,ards,neurological,pulmonary,0.9652708263283858,True
adhd,creutzfeldt_jakob,neurological,neurological,0.9649730512666467,False
arrhythmia,covid19,cardiovascular,infectious,0.9646686139417795,True
adhd,atopic_dermatitis,neurological,inflammatory,0.9646026811626943,True
adhd,celiac,neurological,inflammatory,0.9646026811626943,True
atopic_dermatitis,creutzfeldt_jakob,inflammatory,neurological,0.9635594893170759,True
celiac,creutzfeldt_jakob,inflammatory,neurological,0.9635594893170759,True
bipolar,chronic_bronchitis,neurological,pulmonary,0.9623276826362429,True
anxiety,chronic_bronchitis,neurological,pulmonary,0.962114585593241,True
alzheimer_disease,chronic_bronchitis,neurological,pulmonary,0.9613077388047477,True
anxiety,covid19,neurological,infectious,0.9607630287941396,True
arrhythmia,epilepsy,cardiovascular,neurological,0.9604582785474204,True
adhd,covid19,neurological,infectious,0.9591567920630316,True
covid19,endometriosis,infectious,unspecified,0.9590967826665635,True
celiac,covid19,inflammatory,infectious,0.9588922057046058,True
atopic_dermatitis,covid19,inflammatory,infectious,0.9588922057046058,True
adhd,endometriosis,neurological,unspecified,0.9574828448883175,True
ards,arrhythmia,pulmonary,cardiovascular,0.9570908828338225,True
als,chronic_bronchitis,neurological,pulmonary,0.9570407910902294,True
cancer_skin_melanoma,colon_adenocarcinoma,cancer,cancer,0.9567369673471064,False
anxiety,ards,neurological,pulmonary,0.9548804413436482,True
endometriosis,epilepsy,unspecified,neurological,0.9545901619385495,True
cervical_cancer,esophageal_cancer,cancer,cancer,0.9536454189519196,False
ards,celiac,pulmonary,inflammatory,0.9531981678823942,True
ards,atopic_dermatitis,pulmonary,inflammatory,0.9531981678823942,True
ards,chronic_bronchitis,pulmonary,pulmonary,0.9526857166326228,False
endometrial_cancer,esophageal_cancer,cancer,cancer,0.9523671602017272,False
creutzfeldt_jakob,endometriosis,neurological,unspecified,0.9523470717900785,True
celiac,epilepsy,inflammatory,neurological,0.9518330018496496,True
atopic_dermatitis,epilepsy,inflammatory,neurological,0.9518330018496496,True
ards,cancer_kidney,pulmonary,cancer,0.9509846033450221,True
cancer_bladder,esophageal_cancer,cancer,cancer,0.9507172387143616,False
arrhythmia,down_syndrome,cardiovascular,unspecified,0.9505703379559174,True
cancer_blood,cancer_skin_melanoma,cancer,cancer,0.950547156924775,False
cancer_blood,cancer_kidney,cancer,cancer,0.9496057693492057,False
copd,creutzfeldt_jakob,pulmonary,neurological,0.9490184940270643,True
colon_adenocarcinoma,esophageal_cancer,cancer,cancer,0.9479924070134315,False
breast_invasive_carcinoma,cancer_skin_melanoma,cancer,cancer,0.9478980217850005,False
chronic_bronchitis,covid19,pulmonary,infectious,0.9477056287514458,True
arrhythmia,chronic_bronchitis,cardiovascular,pulmonary,0.9471080343267454,True
atopic_dermatitis,chronic_bronchitis,inflammatory,pulmonary,0.9469558803967312,True
celiac,chronic_bronchitis,inflammatory,pulmonary,0.9469558803967312,True
asthma,creutzfeldt_jakob,pulmonary,neurological,0.9467262431295668,True
atopic_dermatitis,down_syndrome,inflammatory,unspecified,0.9464754210949837,True
celiac,down_syndrome,inflammatory,unspecified,0.9464754210949837,True
breast_invasive_carcinoma,colon_adenocarcinoma,cancer,cancer,0.945888591580268,False
anxiety,down_syndrome,neurological,unspecified,0.944817090318359,True
adhd,epilepsy,neurological,neurological,0.9443962283667248,False
adhd,chronic_bronchitis,neurological,pulmonary,0.9443632541526217,True
adhd,cancer_kidney,neurological,cancer,0.9441328773074034,True
alzheimer_disease,asthma,neurological,pulmonary,0.9440146426478225,True
cancer_kidney,covid19,cancer,infectious,0.9438281039951125,True
als,down_syndrome,neurological,unspecified,0.9424004671881646,True
ards,endometriosis,pulmonary,unspecified,0.9421434994044772,True
down_syndrome,epilepsy,unspecified,neurological,0.9412473616840942,True
copd,covid19,pulmonary,infectious,0.9409759136178258,True
ards,cervical_cancer,pulmonary,cancer,0.940001772517157,True
cancer_prostate,cancer_stomach,cancer,cancer,0.938281218304207,False
creutzfeldt_jakob,epilepsy,neurological,neurological,0.9360100960617568,False
chronic_bronchitis,endometriosis,pulmonary,unspecified,0.9358103266071897,True
als,copd,neurological,pulmonary,0.9350706627976428,True
cancer_kidney,creutzfeldt_jakob,cancer,neurological,0.9345796086517666,True
adhd,cervical_cancer,neurological,cancer,0.9338055268078636,True
als,asthma,neurological,pulmonary,0.9331247632041182,True
alzheimer_disease,copd,neurological,pulmonary,0.9330884291062073,True
ards,cancer_bladder,pulmonary,cancer,0.9326237057517267,True
cervical_cancer,covid19,cancer,infectious,0.9319980395419383,True
ards,asthma,pulmonary,pulmonary,0.9319234724784231,False
alzheimer_disease,down_syndrome,neurological,unspecified,0.9318587711352283,True
covid19,epilepsy,infectious,neurological,0.9306335981042607,True
ards,copd,pulmonary,pulmonary,0.9297124115177677,False
anxiety,bipolar,neurological,neurological,0.928181891498639,False
ards,endometrial_cancer,pulmonary,cancer,0.928039016961258,True
chronic_bronchitis,copd,pulmonary,pulmonary,0.927292901419215,False
anxiety,copd,neurological,pulmonary,0.9270810710310474,True
anxiety,asthma,neurological,pulmonary,0.926826012749863,True
breast_benign,epilepsy,unspecified,neurological,0.9265465212527334,True
anemia,epilepsy,unspecified,neurological,0.9265465212527334,True
chronic_pain,epilepsy,unspecified,neurological,0.9265465212527334,True
diabetic_retinopathy,epilepsy,unspecified,neurological,0.9265465212527334,True
alcohol_use,epilepsy,unspecified,neurological,0.9265465212527334,True
adhd,cancer_bladder,neurological,cancer,0.9254645034709158,True
asthma,chronic_bronchitis,pulmonary,pulmonary,0.9250250399611514,False
arrhythmia,diabetic_retinopathy,cardiovascular,unspecified,0.9249002525078034,True
alcohol_use,arrhythmia,unspecified,cardiovascular,0.9249002525078034,True
anemia,arrhythmia,unspecified,cardiovascular,0.9249002525078034,True
arrhythmia,breast_benign,cardiovascular,unspecified,0.9249002525078034,True
arrhythmia,chronic_pain,cardiovascular,unspecified,0.9249002525078034,True
cancer_blood,cancer_prostate,cancer,cancer,0.9248728301067729,False
asthma,covid19,pulmonary,infectious,0.9245657111538454,True
cancer_bladder,covid19,cancer,infectious,0.9245125864453471,True
cancer_blood,colon_adenocarcinoma,cancer,cancer,0.9242765138415143,False
alcohol_use,atopic_dermatitis,unspecified,inflammatory,0.9215830449667016,True
anemia,atopic_dermatitis,unspecified,inflammatory,0.9215830449667016,True
celiac,chronic_pain,inflammatory,unspecified,0.9215830449667016,True
anemia,celiac,unspecified,inflammatory,0.9215830449667016,True
alcohol_use,celiac,unspecified,inflammatory,0.9215830449667016,True
atopic_dermatitis,chronic_pain,inflammatory,unspecified,0.9215830449667016,True
atopic_dermatitis,breast_benign,inflammatory,unspecified,0.9215830449667016,True
celiac,diabetic_retinopathy,inflammatory,unspecified,0.9215830449667016,True
breast_benign,celiac,unspecified,inflammatory,0.9215830449667016,True
atopic_dermatitis,diabetic_retinopathy,inflammatory,unspecified,0.9215830449667016,True
anxiety,breast_benign,neurological,unspecified,0.9213826921528041,True
anxiety,chronic_pain,neurological,unspecified,0.9213826921528041,True
anxiety,diabetic_retinopathy,neurological,unspecified,0.9213826921528041,True
anemia,anxiety,unspecified,neurological,0.9213826921528041,True
alcohol_use,anxiety,unspecified,neurological,0.9213826921528041,True
arrhythmia,asthma,cardiovascular,pulmonary,0.9213585043042299,True
adhd,endometrial_cancer,neurological,cancer,0.9210570727772872,True
adhd,down_syndrome,neurological,unspecified,0.920517242032437,True
ards,epilepsy,pulmonary,neurological,0.9202988887777309,True
als,cancer_kidney,neurological,cancer,0.9199475540391523,True
covid19,endometrial_cancer,infectious,cancer,0.9198254441053791,True
cancer_kidney,endometriosis,cancer,unspecified,0.9197045918014612,True
alzheimer_disease,cancer_kidney,neurological,cancer,0.9177828085146477,True
chronic_bronchitis,epilepsy,pulmonary,neurological,0.9171715872428247,True
als,chronic_pain,neurological,unspecified,0.9170503107601847,True
alcohol_use,als,unspecified,neurological,0.9170503107601847,True
als,anemia,neurological,unspecified,0.9170503107601847,True
als,breast_benign,neurological,unspecified,0.9170503107601847,True
als,diabetic_retinopathy,neurological,unspecified,0.9170503107601847,True
arrhythmia,copd,cardiovascular,pulmonary,0.9160026968069747,True
cervical_cancer,creutzfeldt_jakob,cancer,neurological,0.9150077557502018,True
atopic_dermatitis,cancer_kidney,inflammatory,cancer,0.9147583353532576,True
cancer_kidney,celiac,cancer,inflammatory,0.9147583353532576,True
copd,endometriosis,pulmonary,unspecified,0.914732203217162,True
covid19,down_syndrome,infectious,unspecified,0.9145126368720615,True
cancer_prostate,esophageal_cancer,cancer,cancer,0.9131939660322126,False
