case_id,project_id,disease_id,voc_id,log2_fold_change,target_ppb,healthy_ppb,primary_site,primary_diagnosis,ajcc_pathologic_stage,stage_num,label_origin,study_id,source
real::malaria::ST000883,malaria,malaria,2_butanone,0.4328,1.6198210117081622,1.2,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,2_pentanone,0.0,1.4,1.4,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,acetone,0.2295,559.2484164616009,477.0,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,benzene,0.006,0.8033340345911786,0.8,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,butane,0.0,3.0,3.0,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,ethanol,0.0,120.0,120.0,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,ethylbenzene,0.0,0.7,0.7,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,heptanal,0.0,3.1,3.1,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,hexanal,-0.3741,3.2406637341456035,4.2,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,hexane,-0.5378,1.7220512684286904,2.5,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,isoprene,-1.6086,34.4312229119101,105.0,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,isopropanol,0.1185,27.140138722606068,25.0,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,nonanal,-0.0349,4.8804970824363885,5.0,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,octane,0.2887,1.4658468760250545,1.2,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,pentane,0.4666,11.745716699824372,8.5,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,propanol,0.0,12.0,12.0,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::malaria::ST000883,malaria,malaria,toluene,-0.0128,1.4867504379853616,1.5,systemic,Malaria,,2.0,measured_cohort,ST000883,metabolomics_workbench
real::heart_failure::ST000587,heart_failure,heart_failure,acetone,-0.8301,268.30785027072585,477.0,heart,Heart failure,,2.0,measured_cohort,ST000587,metabolomics_workbench
real::heart_failure::ST000587,heart_failure,heart_failure,methanol,-0.0552,153.99376134817604,160.0,heart,Heart failure,,2.0,measured_cohort,ST000587,metabolomics_workbench
real::asthma::23522490,asthma,asthma,2_pentanone,2.1871,6.3754484599166314,1.4,lung,Asthma,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::asthma::23522490,asthma,asthma,acetaldehyde,-0.0231,14.761737089400208,15.0,lung,Asthma,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::asthma::23522490,asthma,asthma,benzaldehyde,0.4466,1.63538963958785,1.2,lung,Asthma,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::asthma::23522490,asthma,asthma,benzene,-0.3132,0.6438836426831879,0.8,lung,Asthma,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::asthma::23522490,asthma,asthma,butane,-0.5089,2.1082741796759117,3.0,lung,Asthma,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::asthma::23522490,asthma,asthma,decanal,0.1238,4.140483993661376,3.8,lung,Asthma,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::asthma::23522490,asthma,asthma,dodecane,-0.3745,0.6942354334116083,0.9,lung,Asthma,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::asthma::23522490,asthma,asthma,ethanol,0.273,144.9981412067931,120.0,lung,Asthma,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::asthma::23522490,asthma,asthma,ethyl_acetate,0.6093,5.339315950506089,3.5,lung,Asthma,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::asthma::23522490,asthma,asthma,ethylbenzene,1.3725,1.8124319484875446,0.7,lung,Asthma,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::asthma::23522490,asthma,asthma,furan,5.7011,41.61904353388784,0.8,lung,Asthma,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
