cohort,voc_id,mean_intensity
asthma,2_pentanone,44004.058655893816
asthma,acetaldehyde,7959.50060754717
asthma,benzaldehyde,110463.99832025156
asthma,benzene,117174.20796205189
asthma,butane,9580.074773584905
asthma,decanal,18203.102518867927
asthma,dodecane,313949.656990566
asthma,ethanol,87629.45985141509
asthma,ethyl_acetate,11356.647356603773
asthma,ethylbenzene,106498.48784528302
asthma,furan,1485960.0188679246
asthma,hexane,14168.60154716981
asthma,isopropanol,863753.6217674529
asthma,octane,18156.017311320753
asthma,phenol,74058.16206301887
asthma,propanol,66046.46641509434
asthma,undecane,201425.20551509433
copd,2_pentanone,9663.197787878787
copd,acetaldehyde,7459.607639393939
copd,benzaldehyde,88395.98965656565
copd,benzene,171896.57481868684
copd,butane,13976.50926969697
copd,decanal,14598.576848484849
copd,dodecane,275997.7484848485
copd,ethanol,70623.5672551515
copd,ethyl_acetate,6963.039124242424
copd,ethylbenzene,40302.74795609091
copd,furan,35775.66515151515
copd,hexane,19716.95778787879
copd,isopropanol,940233.2107712121
copd,octane,8414.794196969697
copd,phenol,101008.9790771212
copd,propanol,43357.32121212121
copd,undecane,207832.04363636364
copd,xylene,90825.27660606061
bronchiectasis,acetaldehyde,8716.198674285715
bronchiectasis,acetonitrile,94654.49094285716
bronchiectasis,benzaldehyde,73717.91132380953
bronchiectasis,benzene,119280.17615102041
bronchiectasis,butane,13288.51880952381
bronchiectasis,decanal,18814.337614285712
bronchiectasis,dodecane,538026.8274285714
bronchiectasis,ethanol,74422.24644
bronchiectasis,ethyl_acetate,7925.465155714286
bronchiectasis,ethylbenzene,41960.21919428571
bronchiectasis,furan,21351.75664190476
bronchiectasis,hexane,18945.42657142857
bronchiectasis,isopropanol,1295312.7042628573
bronchiectasis,octane,8280.856457142858
bronchiectasis,phenol,115870.52875485714
bronchiectasis,propanol,39359.86857142857
bronchiectasis,undecane,194527.61265714286
bronchiectasis,xylene,76136.91825514311
